Artifact,Command to Run,Abnormal to See,Normal to See,What Value It Gives About Initial Access
SSH authentication logs (Debian/Ubuntu),"grep 'Accepted\|Failed' /var/log/auth.log","Multiple failed attempts followed by success from same IP; login from unfamiliar external IP","Occasional mistyped passwords from known IPs","Indicates brute force or unauthorized remote SSH access"
SSH authentication logs (RHEL/CentOS),"grep 'Accepted\|Failed' /var/log/secure","Successful login from unknown public IP","Known administrator IP addresses","Identifies suspicious remote entry vector"
SSH session history timeline,"last -a","First-time login from foreign country or unusual ASN","Recognized company geolocation","Helps identify first compromise session"
Failed login attempts,"lastb","High volume of failures from one IP","Small number of user typos","Shows brute force or credential stuffing attempt"
Root login over SSH,"grep 'Accepted' /var/log/auth.log | grep root","Direct external root login","Root login disabled or internal only","High-confidence compromise indicator"
SSH authorized keys inspection,"cat ~/.ssh/authorized_keys","Unknown public key present","Recognized organization keys","Shows key-based entry instead of password"
SSH configuration exposure,"grep -Ei 'PermitRootLogin|PasswordAuthentication' /etc/ssh/sshd_config","PasswordAuthentication enabled and exposed externally","Key-only authentication enforced","Reveals exposed attack surface"
Newly added user accounts,"awk -F: '$3 >= 1000 {print $1,$3,$6}' /etc/passwd","Unexpected new interactive user account","Known employee or service accounts","Possible attacker-created entry account"
Password change timeline,"chage -l username","Password changed shortly before suspicious login","Regular password rotation schedule","May indicate credential compromise or takeover"
Sudo usage immediately after first login,"grep sudo /var/log/auth.log","First login followed immediately by sudo attempts","Regular administrative workflow","Indicates compromised privileged credentials"
Apache web access logs,"cat /var/log/apache2/access.log","Requests to /wp-admin, /phpmyadmin, long encoded strings, scanning patterns","Normal browser-based requests","Indicates web vulnerability scanning or exploitation"
Nginx web access logs,"cat /var/log/nginx/access.log","Repeated 404 errors, suspicious user agents, automated scanning patterns","Legitimate browser user agents","Shows automated reconnaissance and exploit attempts"
Recent webroot file changes,"find /var/www -type f -mtime -2","New unexpected .php or script files","Known deployment files","Possible web shell upload vector"
FTP access logs,"cat /var/log/vsftpd.log","Anonymous login or unexpected upload activity","Anonymous FTP disabled and no uploads","Indicates file upload entry vector"
Listening services exposure check,"ss -tuln","Service listening on 0.0.0.0 unexpectedly","Services bound only to internal interfaces","Indicates externally reachable attack surface"
Installed package versions check,"dpkg -l or rpm -qa","Outdated SSH, Apache, or exposed services","Patched and updated packages","Suggests exploit-based entry possibility"
Kernel crash indicators,"dmesg | grep -i segfault","Segfault or crash prior to suspicious login","Rare benign crashes","Possible exploitation attempt before access"
Mail logs review (phishing vector),"grep 'from=' /var/log/mail.log","Suspicious spoofed sender or malicious attachment delivery","Normal internal mail flow","Indicates phishing-based credential theft path"