Artifact,Command to Run,Abnormal to See,Normal to See,What Value It Gives About Execution
Current running processes,"ps aux --forest","Encoded bash commands; bash -c or sh -c with long strings; suspicious parent-child chains","Known system services and daemons","Shows active malicious execution and suspicious process spawning"
Process tree visibility,"pstree -ap","Web server spawning bash, sh, python, perl","Normal service hierarchy","Detects web shell or command injection execution"
Recently started processes,"ps -eo pid,ppid,cmd,lstart --sort=start_time","Processes started immediately after suspicious login","Regular boot-time or service start processes","Correlates execution timing with attacker activity"
User shell history,"cat ~/.bash_history","curl | bash; wget | sh; base64 -d | bash; reverse shell commands","Regular administrative commands","Indicates manual attacker command execution"
Audit EXECVE logs (if auditd enabled),"ausearch -m EXECVE","Execution of binaries from /tmp, /dev/shm, user home unexpectedly","Normal system binaries from /usr/bin or /bin","High-confidence evidence of suspicious execution"
Temporary directory inspection,"ls -la /tmp /dev/shm /var/tmp","Executable files in temporary directories","Mostly empty or non-executable files","Attackers commonly execute payloads from temp locations"
Executable files in temp,"find /tmp -type f -executable","New executable files recently created","Rarely any executables in temp","Indicates dropped payload execution"
Full command-line visibility,"ps auxww","Long obfuscated or base64-encoded command arguments","Readable legitimate commands","Detects encoded or obfuscated payload execution"
Reverse shell indicators in history,"history | grep -E 'nc|ncat|curl|wget|bash -i'","bash -i >& /dev/tcp; nc -e /bin/sh patterns","Normal downloads or admin commands","Identifies reverse shell execution attempts"
Cron execution logs (read-only check),"grep CMD /var/log/syslog","Unexpected commands executed by cron","Known scheduled administrative tasks","Shows automated script-based execution"
Systemd service execution review,"journalctl -u <service_name>","Service launching custom binary from unusual path","Standard system services","Detects execution via malicious service start"
Python process inspection,"ps aux | grep python","Python running from /tmp or unusual directory","Known applications using python","Common attacker execution method"
Perl process inspection,"ps aux | grep perl","Perl one-liner reverse shell","Rare legitimate perl runtime usage","Indicates command injection or exploit execution"
Suspicious ELF files in temp,"file /tmp/*","ELF binaries in temporary directories","No compiled binaries in temp","Indicates dropped compiled malware"
Recently modified executables system-wide,"find / -type f -perm -111 -mtime -1 2>/dev/null","New executable files outside normal update activity","Only expected package update files","Detects newly dropped payloads made executable"
Deleted but running binaries,"ls -la /proc/*/exe 2>/dev/null | grep deleted","Process running whose binary is deleted","No deleted executables running","Indicates fileless or stealth execution"
Environment variable manipulation,"env","Unexpected LD_PRELOAD or unusual variables","Standard environment variables","May indicate execution manipulation or injection"
Web server spawned shell processes,"ps aux | grep apache; ps aux | grep nginx","Child shell processes under web server","Only worker processes","Shows command injection or web shell execution"