Artifact,Command to Run,Abnormal to See,Normal to See,What Value It Gives About Persistence
User crontab,"crontab -l","Unknown script, reverse shell, curl/wget execution","Known backup or maintenance job","Shows scheduled task used to maintain access"
System-wide cron jobs,"ls -la /etc/cron*","New script in cron.hourly or cron.daily","Standard distro maintenance scripts","System-level recurring execution"
Cron logs,"grep CRON /var/log/syslog","Suspicious script executed repeatedly","Known scheduled jobs","Confirms cron-based persistence is active"
At jobs (delayed execution),"atq","Unexpected scheduled task","Empty or known task","Delayed persistence trigger"
Enabled services (systemd),"systemctl list-unit-files --type=service","Custom service enabled unexpectedly","Standard OS services","Service-based persistence"
Running services (systemd),"systemctl list-units --type=service --state=running","Unknown service running at boot","Recognized infrastructure services","Active persistent service"
Systemd service file content,"cat /etc/systemd/system/suspicious.service","ExecStart pointing to /tmp or user folder","ExecStart pointing to /usr/bin system binaries","Malicious boot-time execution"
User-level systemd services,"systemctl --user list-unit-files","Enabled unknown user service","Few or none configured","User-space persistence mechanism"
User authorized keys,"cat ~/.ssh/authorized_keys","Unknown public key added","Recognized organization keys","Passwordless attacker access"
Root authorized keys,"cat /root/.ssh/authorized_keys","Unknown SSH key for root","Empty or known keys","High-privilege persistent access"
User shell config,"cat ~/.bashrc ~/.profile ~/.bash_profile","Reverse shell or script execution added","Environment variable setup","Persistence triggered at login"
Global shell config,"cat /etc/profile /etc/bash.bashrc","Suspicious command execution line","Standard environment settings","System-wide login persistence"
RC local file (legacy boot) ,"cat /etc/rc.local","Script launching unknown binary","Empty or minimal content","Boot-time persistence"
Init.d scripts,"ls -la /etc/init.d","Recently modified or unknown script","Standard distro scripts","Persistence via legacy init system"
SUID binaries,"find / -perm -4000 -type f 2>/dev/null","Custom SUID binary in unusual directory","Known SUID binaries (sudo, passwd, etc)","Persistence via privilege abuse"
World-writable service files,"find /etc/systemd -type f -perm -002","Writable service file","Root-protected files","Attacker can reinsert persistence"
LD_PRELOAD config,"cat /etc/ld.so.preload","Unexpected library path","File empty or not present","Persistence via shared library injection"
Loaded kernel modules,"lsmod","Unknown module loaded","Standard OS modules","Rootkit-style persistence"
Kernel module files,"ls -la /lib/modules/$(uname -r)/","Recently added .ko file","Vendor-signed modules","Boot-persistent kernel implant"
Home directories timeline,"ls -lt /home","Recently created unknown home directory","Existing employee directories","Persistent attacker account"
Shadow file modification,"stat /etc/shadow","Modified unexpectedly","Matches known password changes","New or modified credentials"