Artifact,Command to Run,Abnormal to See,Normal to See,What Value It Gives About Credential Access
Shadow file,"cat /etc/shadow","Unexpected modification or new entries","Only known users","Shows if attacker added accounts or attempted to grab hashes"
Shadow file access logs,"ausearch -f /etc/shadow","Unauthorized reads","No reads by normal users","Confirms credential theft attempts"
Password history,"ls -la /etc/security/opasswd","Unexpected modification","Only known entries","Detects attacker accessing old password hashes"
User SSH keys,"ls -la ~/.ssh","New or copied keys in home directories","Only expected keys","Indicates key theft or lateral movement preparation"
Root SSH keys,"ls -la /root/.ssh","Unknown keys or copied private keys","Only admin keys","High-privilege key compromise"
Gnome keyring / KWallet,"ls -la ~/.local/share/keyrings","Unexpectedly modified or new files","Only user’s own keys","Could be used to steal stored passwords"
Browser password storage,"ls -la ~/.mozilla/firefox/*.default*/logins.json","Unexpected files accessed","User’s own stored passwords","Indicates theft of saved credentials"
System credential caches,"ps aux | grep gnome-keyring","Running for unusual users or with strange environment","Regular user gnome-keyring process","Evidence of active credential extraction"
Sudo logs,"grep sudo /var/log/auth.log","Unexpected password prompts or failed sudo attempts","Normal administrative commands","Indicates attempts to capture elevated credentials"
Authentication logs,"grep 'authentication failure' /var/log/auth.log","Failed logins for multiple accounts","Normal failed attempts","May indicate brute-force attempts"
Password cracking tools,"ps aux | grep -E 'hashcat|john|hydra|medusa'","Active password cracking process","None","Indicates credential harvesting attempt"
Accessing /etc/passwd or /etc/shadow,"ls -la /etc/passwd /etc/shadow","Unexpected reads by non-root users","Only root access","Confirms credential access attempts"