Artifact,Command to Run,Abnormal to See,Normal to See,What Value It Gives About Lateral Movement
SSH connections,"last -i","Connections to internal hosts or unexpected external hosts","Logins from known admin or maintenance IPs","Shows if attacker moved laterally using SSH"
Active SSH sessions,"who -a","Sessions from unusual internal IPs","Regular user logins","Indicates ongoing lateral movement"
Known hosts file,"cat ~/.ssh/known_hosts","Unknown internal hosts added recently","Known internal systems","Evidence of attacker probing internal network"
SSH keys copied,"find ~ -name 'id_rsa*' -type f","New private keys in home directories","Only expected user keys","Shows preparation for lateral movement using key-based auth"
SCP / SFTP logs,"grep scp /var/log/auth.log","Unusual files transferred internally","Routine file transfers","Indicates attacker moving data or tools laterally"
Recent file access,"find /home -type f -atime -1","Files accessed by unexpected user","Files accessed by legitimate user","Shows lateral movement activity"
Shared folder inspection,"ls -la /mnt /media","Unknown mounts or copied files","Mounted external storage","Indicates lateral movement via shared storage"
Open connections,"ss -tulnp","Unexpected internal connections to unusual ports","Standard service connections","Shows network pivoting or scanning"
ARP table,"arp -n","Unknown internal IPs","Known network devices","Indicates discovery for lateral movement"
Nmap or netcat usage,"ps aux | grep -E 'nmap|nc|ncat'","Active scanning processes","None","Detects internal reconnaissance before moving laterally"
SSH private key usage,"ls -la ~/.ssh","New key used to connect internally","Only known user keys","Shows lateral movement using stolen credentials"
Sudo / root usage on target,"grep sudo /var/log/auth.log","Privilege escalation used for internal system","Regular admin commands","Indicates escalated lateral movement"
Cron jobs for internal tools,"crontab -l","Unknown scripts running internal commands","Known jobs","Attacker automates lateral movement"
Systemd timers,"systemctl list-timers --all","Custom timers executing network tools","Only expected system timers","Automated pivoting or internal scanning"