Artifact,Command to Run,Abnormal to See,Normal to See,What Value It Gives About Command & Control
Established connections,"ss -tulnp","Connections to unknown external IPs or unusual ports","Standard system services connections","Active remote control channel detection"
Netstat overview,"netstat -antp","Unexpected connections or foreign IPs","Known service connections","Confirms outbound or inbound C2 activity"
ARP table,"arp -n","New devices that were never seen","Known internal network devices","Indicates lateral C2 pivot or local rogue host"
Suspicious processes,"ps aux","Reverse shells, nc, ncat, bash with network","Standard system processes","Shows attacker C2 agent running"
Processes listening on uncommon ports,"lsof -i -P -n","Custom listening or forwarding processes","Standard service ports","Indicates malware or tunneling software"
Scheduled C2 scripts,"crontab -l and ls /etc/cron*","Unknown scripts connecting externally","Known cron jobs","Automated C2 or beaconing"
DNS requests,"grep -i 'nameserver' /etc/resolv.conf; tcpdump -i any port 53","Connections to unusual domains","Known DNS servers","Malware may use DNS tunneling"
Hosts file modifications,"cat /etc/hosts","Malicious IPs or domains added","Standard hosts entries","Attacker redirecting traffic or hiding C2"
Open outbound connections,"ss -tupn","Unusual destination IP/port combinations","Standard web connections","Detects C2 channels, reverse shells, or tunneling"
VPN / Proxy usage,"ip addr; systemctl status openvpn","Unexpected VPN or proxy interfaces","None or known VPNs","Attacker trying to hide traffic or exfiltrate data"
SSH tunnels,"ps aux | grep ssh","SSH tunnels to unknown hosts","Only user-initiated SSH sessions","Remote control or exfiltration via tunneling"
Auth logs,"grep ssh /var/log/auth.log","Frequent or unusual SSH connections","Known admin logins","Detects remote control attempts"
Application logs,"ls -la /var/log","Repeated outbound connection attempts","Standard logging","May indicate malware beaconing"